stage,model,oof_auc,fold_auc_mean,fold_auc_std,n_features,output_dir,kaggle_public_auc,kaggle_private_auc,kaggle_submission_date,kaggle_submission_status,kaggle_submission_description,kaggle_file_name
s1,lightgbm,0.7576457172288115,0.7576719144773476,0.0024601629097999,78,results\s1,0.7477,0.74418,2026-06-20 16:11:30.550000,SubmissionStatus.COMPLETE,hcr s1/lightgbm oof=0.757646 features=78 run=20260621-001118,submission.csv
s2,lightgbm,0.7574048470249772,0.7574348268647734,0.0023577417518541,379,results\s2,0.74656,0.74471,2026-06-20 16:11:38.817000,SubmissionStatus.COMPLETE,hcr s2/lightgbm oof=0.757405 features=379 run=20260621-001118,submission.csv
s2_full,lightgbm,0.7603292072332253,0.7603525900772238,0.0027458310907658,801,results\s2_full,0.7492,0.74859,2026-06-20 16:11:24.057000,SubmissionStatus.COMPLETE,hcr s2_full/lightgbm oof=0.760329 features=801 run=20260621-001118,submission.csv
s2_logistic,logistic,0.7430544805623402,0.7430732797227773,0.0036363547093143,379,results\s2_logistic,0.73544,0.73049,2026-06-20 16:11:45.253000,SubmissionStatus.COMPLETE,hcr s2_logistic/logistic oof=0.743054 features=379 run=20260621-001118,submission.csv
b1,lightgbm,0.7681588549788453,0.7681776676946679,0.0018640892739582,85,results\b1,0.76716,0.76307,2026-06-20 16:10:55.080000,SubmissionStatus.COMPLETE,hcr b1/lightgbm oof=0.768159 features=85 run=20260621-001035,submission.csv
s3,lightgbm,0.7851085567103984,0.7851379029236488,0.0015427668031977,126,results\s3,0.789,0.78562,2026-06-20 16:10:48.410000,SubmissionStatus.COMPLETE,hcr s3/lightgbm oof=0.785109 features=126 run=20260621-001035,submission.csv
s4,lightgbm,0.7861689423439722,0.7861828290261328,0.0014639740805062,184,results\s4,0.79294,0.78666,2026-06-20 16:10:40.920000,SubmissionStatus.COMPLETE,hcr s4/lightgbm oof=0.786169 features=184 run=20260621-001035,submission.csv
b2,lightgbm,0.7861963143531503,0.7862065844259785,0.0015432349590484,184,results\b2,0.79164,0.78686,2026-06-20 16:10:03.763000,SubmissionStatus.COMPLETE,hcr b2/lightgbm oof=0.786196 features=184 run=20260621-000958,submission.csv
s5,lightgbm,0.7863418862525927,0.7863517516112012,0.0014911134698125,191,results\s5,0.79137,0.78696,2026-06-20 16:05:46.070000,SubmissionStatus.COMPLETE,hcr s5/lightgbm oof=0.786342 features=191 run=20260621-000541,submission.csv
s6_avg,stacking,0.7770878805893677,0.7771018873453892,0.0024384692419845,4,results\s6,0.77651,0.77079,2026-06-21 09:20:54.167000,SubmissionStatus.COMPLETE,hcr s6_avg/stacking oof=0.777088 features=4 run=20260621-172049,submission_simple_average.csv
s6_stack,stacking,0.7803828464705063,0.7804142862719465,0.0023333061154055,4,results\s6,0.78104,0.77552,2026-06-21 09:20:22.757000,SubmissionStatus.COMPLETE,hcr s6_stack/stacking oof=0.780383 features=4 run=20260621-172017,submission_logistic_stack.csv
